BOOK_ID	FILENAME	LIBRARIES	TITLE	AUTH_LAST	AUTH_FIRST	AUTH_ID	WRITTEN_AS	PUBL_CITY	PUBLISHER	PUBL_DATE	SOURCE	NATIONALITY	GENRE	CLEAN?	GENRE_2	BESTSELLER?	paperId	year
nyp.33433074897053	nyp.33433074897053.txt		One man's view	Merrick	['Leonard']					1897	hathi_fulltext						nyp.33433074897053	1897
21405	00021405.txt	263.0	The laurels of Lake Constance	Chaix	Marie	A_00597		New York	Viking Press	1977	k	American		c			21405	1977
2619	00002619.txt	33.0	The hindered hand: or: The reign of the repressionist	Griggs	Sutton E.	A_01467		Nashville/Tenn	n. : Orion Pub. Co.	1905	g	American		c			2619	1905
11733	00011733.txt	12.0	The worsted viper	Mitchell	Gladys	A_02427		London	Michael Joseph	1943	k	British					11733	1943
uc2.ark+=13960=t3dz04t88	uc2.ark+=13960=t3dz04t88.txt		The barrel mystery	Flynn	['William', 'J']					1919	hathi_fulltext						uc2.ark+=13960=t3dz04t88	1919
20188	00020188.txt	87.0	Catch-22	Heller	Joseph	A_01617		New York	Simon & Schuster	1955	k	American	POMO	c			20188	1955
20721	00020721.txt	172.0	Fertig	Yurick	Sol	A_03750		New York	Trident Press	1966	k	American		c			20721	1966
25874	00025874.txt	993.0	Zero option	Deutermann	Peter T.	A_04562		New York	St. Martin's Press	1998	k	American		c			25874	1998
nyp.33433076022023	nyp.33433076022023.txt		Fool's gold : a study in values : a novel	Stillman	['Annie', 'Raymond']					1902	hathi_fulltext						nyp.33433076022023	1902
nyp.33433075751473	nyp.33433075751473.txt		The ship of coral	Stacpoole	['H', 'De', 'Vere', 'Henry', 'De', 'Vere']					1911	hathi_fulltext						nyp.33433075751473	1911
22179	00022179.txt	549.0	Counterfeit lady	Deveraux	Jude	A_00919		New York	Pocket Books	1984	k	American		c			22179	1984
mdp.39015033358451	mdp.39015033358451.txt		Silver circus;	Coppard	['A', 'E', 'Alfred', 'Edgar']					1928	extracted_features						mdp.39015033358451	1928
23909	00023909.txt	428.0	The sharp end	Drake	David	A_00993		New York	Distributed by Simon & Schuster	1993	k	American		c			23909	1993
uc1.$b808697	uc1.$b808697.txt		The picture of Dorian Gray	Wilde	['Oscar']					1891	hathi_fulltext						uc1.$b808697	1891
22854	00022854.txt	512.0	Neon mirage	Collins	Max Allan	A_00704		New York	St. Martin's Press	1988	k	American		c			22854	1988
3210	00003210.txt	49.0	Young Wallingford	Chester	George Randolph	A_00636		Indianapolis	Bobbs-Merrill Co.	1910	g	American					3210	1910
10927	00010927.txt	20.0	The body beautiful	Ballinger	Bill S.	A_00143		New York	Harper & Bros.	1949	k	American		c			10927	1949
20021	00020021.txt	72.0	Wine of the dreamers	MacDonald	John D.	A_02169		New York	Greenberg	1951	k	American		c			20021	1951
25359	00025359.txt	1051.0	Harvest of stars	Anderson	Poul	A_00069		New York	TOR	1993	k	American	SCI	c			25359	1993
22417	00022417.txt	289.0	The memory of whiteness	Robinson	Kim Stanley	A_02936		New York/N.Y.	. : T. Doherty Associates	1985	k	American		c			22417	1985
mdp.39015032991245	mdp.39015032991245.txt		The wrong end of time	Brunner	['John']					1971	extracted_features						mdp.39015032991245	1971
10581	00010581.txt	49.0	The case of the rolling bones	Gardner	Erle Stanley	A_01300		New York	Morrow	1939	k	American	DET				10581	1939
11750	00011750.txt	38.0	Jassy	Lofts	Norah	A_02111			"""Leicester, Ulverscroft"""	1944	k	British					11750	1944
21776	00021776.txt	1027.0	Beyond the blue event horizon	Pohl	Frederik	A_02763		New York	Ballantine Books	1980	k	American	SCI	c			21776	1980
20283	00020283.txt	734.0	On the Road	Kerouac	Jack	A_01893		New York	Viking	1957	k	American	POMO	c			20283	1957
4409	00004409.txt	50.0	Hidden Creek	Burt	Katharine Newlin	A_00496		Boston/New York	Houghton Mifflin Co.	1920	g	American					4409	1920
mdp.39015003688291	mdp.39015003688291.txt		Occasion for loving, novel	Gordimer	['Nadine']					1963	extracted_features						mdp.39015003688291	1963
uc1.$b104434	uc1.$b104434.txt		O, Chautauqua; a novel	Duncan	['Thomas', 'William']					1935	extracted_features						uc1.$b104434	1935
mdp.39015002157272	mdp.39015002157272.txt		The word for world is forest	Le	['Guin', 'Ursula', 'K']					1972	extracted_features						mdp.39015002157272	1972
pst.000020621407	pst.000020621407.txt		Bisbee not so long ago	Burgess	['Opie', 'Rundle']					1967	extracted_features						pst.000020621407	1967
25118	00025118.txt	723.0	The black rood	Lawhead	Steve	A_02004		New York	EOS	2000	k	American		c			25118	2000
mdp.39015027657256	mdp.39015027657256.txt		Selected Russian short stories	Chamot	['A', 'E', 'Alfred', 'Edward']					1925	extracted_features						mdp.39015027657256	1925
20798	00020798.txt	209.0	The sophomore	Spacks	Barry	A_03209			"""Englewood Cliffs, N.J., Prentice-Hall"""	1968	k	American		c			20798	1968
uc1.$b102766	uc1.$b102766.txt		The wine of San Lorenzo	Gorman	['Herbert', 'Sherman']					1945	extracted_features						uc1.$b102766	1945
24577	00024577.txt	1054.0	Flower net	See	Lisa	A_04224		New York	Harper & Bros.	1997	k	American		c			24577	1997
21829	00021829.txt	1182.0	Cathedral	DeMille	Nelson	A_00910		New York	Delacorte Press	1981	k	American					21829	1981
11093	00011093.txt	1579.0	Cry: the beloved country	Paton	Alan	A_02665		New York	Charles Scribner's Sons	1948	k	South Africa		c			11093	1948
nyp.33433034410989	nyp.33433034410989.txt		An old maid's love; a Dutch tale told in English	Maartens	['Maarten']					1892	hathi_fulltext						nyp.33433034410989	1892
11529	00011529.txt	57.0	Winged Pharaoh	Grant	Joan Marshall	A_01432		New York	Harper & Bros.	1937	k	British					11529	1937
nyp.33433082289483	nyp.33433082289483.txt		Dave Porter under fire; or, A young army engineer in France	Stratemeyer	['Edward']					1918	hathi_fulltext						nyp.33433082289483	1918
mdp.39015031030946	mdp.39015031030946.txt		The wit and humor of America	Wilder	['Marshall', 'P', 'Marshall', 'Pinckney']					1911	hathi_fulltext						mdp.39015031030946	1911
20007	00020007.txt	67.0	The polkadot murder	Crane	Frances	A_00776		New York	Random House	1951	k	American		c			20007	1951
10725	00010725.txt	584.0	The free man	Richter	Conrad	A_02901		New York	Alfred A. Knopf	1943	k	American					10725	1943
wu.89066460007	wu.89066460007.txt		A boy on the plains and in the Rockies : and other stories	Greer	['William', 'Allen']					1917	hathi_fulltext						wu.89066460007	1917
uc2.ark+=13960=t9p26x17f	uc2.ark+=13960=t9p26x17f.txt		A little gray home in France	Gibbons	['Helen', 'Davenport', 'Brown']					1919	hathi_fulltext						uc2.ark+=13960=t9p26x17f	1919
mdp.39015014681608	mdp.39015014681608.txt		The third book about Achim	Johnson	['Uwe']					1967	extracted_features						mdp.39015014681608	1967
mdp.39015030024205	mdp.39015030024205.txt		Reminiscences of my childhood and youth	Brandes	['Georg', 'Morris', 'Cohen']					1906	hathi_fulltext						mdp.39015030024205	1906
22053	00022053.txt	1051.0	During the reign of the Queen of Persia	Chase	Joan	A_00620		New York	Harper & Bros.	1983	k	American		c			22053	1983
20748	00020748.txt	134.0	The further side of fear	McCloy	Helen	A_02308		New York	"""Dodd, Mead"""	1967	k	American		c			20748	1967
23269	00023269.txt	1167.0	A morning for flamingos	Burke	James Lee	A_00479		Boston	"""Little, Brown"""	1990	k	American		c			23269	1990
10744	00010744.txt	181.0	The women on the porch	Gordon	Caroline	A_01406		New York	Charles Scribner's Sons	1944	k	American					10744	1944
21569	00021569.txt	429.0	Zoot-suit murders	Sanchez	Thomas	A_03020		New York	E.P. Dutton	1978	k	American		c			21569	1978
wu.89098029036	wu.89098029036.txt		Jelard	Henderson	['S', 'E', 'Mrs']					1892	hathi_fulltext						wu.89098029036	1892
mdp.39015002755331	mdp.39015002755331.txt		The fur person	Sarton	['May']					1957	extracted_features						mdp.39015002755331	1957
