BOOK_ID	TITLE	AUTH_LAST	AUTH_FIRST	PUBL_DATE	LIBRARIES	REFS
4249	The magnificent Ambersons	Tarkington	Booth	1918	548.0	1
21697	Timescape	Benford	Gregory	1980	541.0	2
21150	Hiding place	Wilcox	Collin	1973	539.0	1
10333	Not without laughter	Hughes	Langston	1930	539.0	1
20702	The last picture show	McMurtry	Larry	1966	532.0	4
4868	Saint's progress	Galsworthy	John	1919	524.0	1
11062	Count Belisarius	Graves	Robert	1938	523.0	1
20590	A single man	Isherwood	Christopher	1964	519.0	7
10181	Anthem	Rand	Ayn	1946	518.0	7
4850	Fortitude	Walpole	Hugh	1913	516.0	8
21172	About Harry Towns	Friedman	Bruce Jay	1974	512.0	1
20562	Supreme Court	Tully	Andrew	1963	512.0	3
11811	Bright day	Priestley	J. B.	1946	503.0	1
3439	Ethan Frome	Wharton	Edith	1911	503.0	36
21358	Bloodbrothers	Price	Richard	1976	503.0	1
20023	Barbary shore	Mailer	Norman	1951	499.0	8
21311	Ratner's star	DeLillo	Don	1976	497.0	2
10650	What makes Sammy run?	Schulberg	Budd	1941	493.0	2
10487	The big money	Dos Passos	John	1936	489.0	9
4863	Nocturne	Swinnerton	Frank	1917	487.0	2
3785	Penrod	Tarkington	Booth	1914	484.0	18
10694	The robber bridegroom	Welty	Eudora	1942	483.0	3
20324	Tambourines to glory	Hughes	Langston	1958	483.0	1
20329	The subterraneans	Kerouac	Jack	1958	477.0	2
23483	Pincher Martin	Golding	William	1956	475.0	17
10513	The outward room	Brand	Millen	1937	474.0	1
21743	Yellowfish	Keeble	John	1980	473.0	1
20564	The graduate	Webb	Charles Richard	1963	471.0	18
21412	A scanner darkly	Dick	Philip K	1977	465.0	1
20478	Revolutionary road	Yates	Richard	1961	463.0	2
11046	Lost horizon	Hilton	James	1933	463.0	2
11038	All our yesterdays	Tomlinson	H. M.	1930	463.0	1
23525	The mimic men	Naipaul	V. S.	1967	462.0	11
20861	This child's gonna live	Wright	Sarah E	1969	462.0	2
11308	Rogue Herries	Walpole	Hugh	1930	461.0	1
20298	Atlas shrugged	Rand	Ayn	1957	459.0	2
10238	Manhattan transfer	Dos Passos	John	1925	459.0	38
21317	The franchiser	Elkin	Stanley	1976	458.0	2
21244	Ecotopia	Callenbach	Ernest	1975	457.0	3
11031	Lady Chatterley's lover	Lawrence	D. H.	1928	457.0	158
11235	Lady Chatterley's lover	Lawrence	D. H.	1928	457.0	158
23542	Watership Down	Adams	Richard	1972	457.0	2
20572	Nova Express	Burroughs	William S.	1964	451.0	8
10794	Cannery row	Steinbeck	John	1945	451.0	9
20482	Mignon	Cain	James M.	1962	447.0	55
4684	Cytherea	Hergesheimer	Joseph	1922	443.0	2
10579	The wild palms	Faulkner	William	1939	442.0	27
20377	Doctor Sax	Kerouac	Jack	1959	439.0	2
11683	Random harvest	Hilton	James	1941	424.0	1
10824	The street	Petry	Ann	1946	422.0	11
21133	Embarkation	Salamanca	J. R	1973	421.0	1
11356	Inheritance	Bentley	Phyllis Eleanor	1932	421.0	39
20173	The spider's house	Bowles	Paul	1955	417.0	1
20877	Poetic justice	Heilbrun	Carolyn	1970	410.0	2
21231	Ending	Wolitzer	Hilma	1974	409.0	1
21082	Rubyfruit jungle	Brown	Rita Mae	1973	408.0	4
11664	Landfall	Shute	Nevil	1940	407.0	1
21501	Tragic magic	Brown	Wesley	1978	405.0	1
23487	The black cloud	Hoyle	Fred	1957	400.0	1
11039	Vile bodies	Waugh	Evelyn	1930	400.0	15
20832	Real people	Lurie	Alison	1969	400.0	2
4844	The patrician	Galsworthy	John	1911	397.0	5
20328	The Dharma bums	Kerouac	Jack	1958	393.0	7
21669	Solo faces	Salter	James	1979	392.0	2
20365	The Manchurian candidate	Condon	Richard	1959	391.0	2
20041	The disappearance	Wylie	Philip	1951	390.0	4
4878	The judge	West	Rebecca	1922	387.0	6
4292	Jurgen	Cabell	James Branch	1919	387.0	58
21089	Great Jones Street	DeLillo	Don	1973	386.0	1
10893	My glorious brothers	Fast	Howard	1948	383.0	1
20070	The natural	Malamud	Bernard	1952	382.0	15
23489	The sandcastle	Murdoch	Iris	1957	380.0	1
20171	Tomorrow!	Wylie	Philip	1954	371.0	1
11072	Between the acts	Woolf	Virginia	1941	370.0	5
11022	No more parades	Ford	Ford Madox	1925	370.0	7
20744	Imaginary friends	Lurie	Alison	1967	369.0	1
10637	The last frontier	Fast	Howard	1941	368.0	1
20680	Beautiful losers	Cohen	Leonard	1966	366.0	3
20937	Post Office	Bukowski	Charles	1971	364.0	2
10961	Earth abides	Stewart	George R.	1949	363.0	3
20125	More than human	Sturgeon	Theodore	1953	362.0	3
11081	Stephen hero	Joyce	James	1944	361.0	97
11098	The grass is singing	Lessing	Doris	1950	358.0	7
10480	Tortilla flat	Steinbeck	John	1935	354.0	11
21493	Hamilton Stark	Banks	Russell	1978	351.0	1
20477	The pawnbroker	Wallant	Edward Lewis	1961	342.0	3
10949	The oasis	McCarthy	Mary	1949	339.0	3
20502	Big Sur	Kerouac	Jack	1962	337.0	7
20707	Norwood	Portis	Charles	1966	335.0	8
10380	Light in August	Faulkner	William	1932	334.0	2
3850	The rainbow trail	Grey	Zane	1915	332.0	1
21599	Umbertina	Barolini	Helen	1979	331.0	1
10311	Laughing Boy	La Farge	Oliver	1929	325.0	2
4859	The brook Kerith	Moore	George	1916	324.0	4
11497	South Riding	Holtby	Winifred	1936	324.0	2
20918	Love story	Segal	Erich	1970	324.0	9
