doi	journal	year	authors	title	language	wordcount	doctype	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count	make_embeddings	paperId
10.2307/3713410	The Modern Language Review	1911	['G. C. Macaulay']	Review Article	['eng']	2553	article | book-review	5	The plays and poems of Georg Chapman : the tragedies		not citable	0.0			5	1	bc0c90cf199ebe8d85785e4c115a5b4666485053
10.2307/3713023	The Modern Language Review	1914	['E. C. Quiggin']	Review Article	['eng']	973	article | book-review	0	A Welsh Grammar Historical and Descriptive	1914-04-01	not citable	0.0			0	1	a3e31e069cc575b1304689e674e1d25852137b03
10.2307/3713304	The Modern Language Review	1911	['Henri Chatelain']	Review Article	['fre']	1374	article | book-review	1	Molière, his life and his works		not citable	0.0			1	1	2bd0afe40a1cdbad88d4763753fada8efc85d8ff
10.2307/3713350	The Modern Language Review	1910	['L. Winstanley']	Review Article	['eng']	4247	article | book-review	20	The Romantic Movement in English Poetry	1969-06-01	not citable	0.0			20	1	1c62f3cf345636231593fe1ac95229ac7630f28b
10.2307/3713526	The Modern Language Review	1916	['C. L. Powell']	New Material on Thomas Carew	['eng']	5640	article | research-article	0	New Material on Thomas Carew	1916	found	1.0	Modern Language Review	C. L. Powell	0	1	91cf8c1d3130df6776676781ac813470efb6a777
10.2307/456930	PMLA	1918	['H. M. Belden']	Boccaccio, Hans Sachs, and the Bramble Briar	['eng']	21763	article | research-article	2	Boccaccio, Hans Sachs, and The Bramble Briar		already found	0.0			2	1	9cb77811ac1602b2109d39b57860ecb77fb2affb
10.2307/3713287	The Modern Language Review	1911	['H. J. C. Grierson']	"""Underneath This Sable Herse,"" Etc."	['eng']	708	article | research-article	0	"""Underneath This Sable Herse,"" Etc."	1911	found	1.0	Modern Language Review	H. Grierson	0	1	8b019b58894de5fdf7173fc7b8fc452f8f2e90c7
10.2307/3712711	The Modern Language Review	1911	['L. E. Kastner']	Some Unpublished Poems of Drummond from the Hawthornden MSS.	['eng']	3984	article | research-article	0	Some Unpublished Poems of Drummond from the Hawthornden MSS.	1911	found	1.0	no journal listed	L. E. Kastner	0	1	a1f00573f7013c03d31f1e05cd77c591b15de2fe
10.2307/3713002	The Modern Language Review	1914	['L. A. Willoughby']	"An Early Translation of Goethe's ""Tasso"""	['eng']	6094	article | research-article	1	"An Early Translation of Goethe's ""Tasso"""	1914-04-01	already found	0.0			1	1	06d788571e3904ed294bf6cffa86947eb0344345
10.2307/3712980	The Modern Language Review	1916	['G. H. Wheeler']	"The Method of Formation of Old English Place-Names in ""-haeme,"" ""-saetan,"" ""-tūningas"""	['eng']	728	article | research-article	1	"The Method of Formation of Old English Place-Names in ""-haeme,"" ""-saetan,"" ""-tuningas"""	1916-04-01	already found	0.0			1	1	ce8cdfcccc53227fbfbc6c0dc6590ab41550df62
10.2307/3712631	The Modern Language Review	1915	['L. C. Martin']	"Crashaw's Translation of Marino's ""La Strage Degli Innocenti"" (""Sospetto d'Herode"")"	['eng']	1073	article | research-article	0	"Crashaw's Translation of Marino's ""La Strage Degli Innocenti"" (""Sospetto d'Herode"")"	1915	found	1.0	no journal listed	L. C. Martin	0	1	1f28afa57f68226c904e2cf24541952b547f5704
10.2307/433131	Modern Philology	1917	['Hermann Collitz']	"Der Ablaut von Got. ""Speiwan"""	['ger']	1615	article | research-article	0	"Der Ablaut von Got. ""Speiwan"""	1917	found	1.12	Modern Philology	H. Collitz	1	1	b7d496cc9fdbc015f6298af7a6a0a329bd530ba5
10.2307/3712943	The Modern Language Review	1915	['R. W. Chambers']	"The ""Shifted Leaf"" in ""Beowulf"""	['eng']	2058	article | research-article	0	"The ""Shifted Leaf"" in ""Beowulf"""	no date	found	0.91	Modern Language Review	R. Chambers	0	1	af717edc5ae3a156fcbff452f9cd59bd53bf95a9
10.2307/3712744	The Modern Language Review	1914	['A. Terracher']	"Une Source possible de ""Salammbô"""	['fre']	886	article | research-article	0	"Une Source possible de ""Salammbo"""	1914-07-01	no strong match	0.0			0	1	491e1a1e7ab2a2a09c4931e63a2ea64d6981f654
