docid	date	num_chunks	fraction_compared	filtered	time_radius	chunks_used	precocity	novelty	transience
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	False	10	1.0	2.1799292958743157	6.887201093703529	4.707271797829213
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	False	10	0.25	2.319040163880569	6.976864687064982	4.657824523184413
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	False	20	1.0	1.924922310231344	6.577890072438484	4.652967762207139
9c6f2271126ee632286fbe80b6d0cab8fecd6c03	1920	5	0.05	False	20	0.25	2.050426594044741	6.655878801204592	4.605452207159852
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	True	10	1.0	0.006668896080182033	6.335581622794828	6.328912726714647
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	True	10	0.25	0.03461204406400942	6.291632762113724	6.257020718049714
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	True	20	1.0	-0.008190822546317927	6.33404382731473	6.342234649861049
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	True	20	0.25	0.04201219083649447	6.307532939465777	6.265520748629284
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	False	10	1.0	0.00717096550535617	6.335581622794828	6.328410657289471
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	False	10	0.25	0.03577894012760563	6.291632762113724	6.255853821986118
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	False	20	1.0	-0.007964447147604097	6.33404382731473	6.342008274462335
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	1.0	False	20	0.25	0.0425295283465242	6.307532939465777	6.265003411119255
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	True	10	1.0	0.1110157014707438	4.493266463251438	4.382250761780694
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	True	10	0.25	0.2727037160059534	4.564734142533879	4.292030426527926
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	True	20	1.0	0.09436530758741733	4.514923511655232	4.420558204067816
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	True	20	0.25	0.2362093978483554	4.4699971849165	4.233787787068144
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	False	10	1.0	0.11012817327135128	4.493266463251438	4.383138289980087
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	False	10	0.25	0.27229946953843776	4.564734142533879	4.292434672995443
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	False	20	1.0	0.09392154348772118	4.514923511655232	4.421001968167511
0ee4b24b80d69439174b4cea87a4ec76fbd89908	1920	11	0.05	False	20	0.25	0.23720070587686237	4.4699971849165	4.232796479039638
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	True	10	1.0	-0.0369214462517613	5.891919087408803	5.928840533660566
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	True	10	0.25	-0.030897364073949163	6.058312294089999	6.0892096581639485
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	True	20	1.0	-0.01808610484931128	5.926139460039529	5.944225564888841
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	True	20	0.25	0.015386639490500897	6.108580982099687	6.093194342609186
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	False	10	1.0	-0.03646848841669703	5.891394742686412	5.9278632311031085
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	False	10	0.25	-0.030536195544121902	6.057066189697174	6.087602385241296
2b5712098a0654934d117ded71d2731f569691c7	1920	2	1.0	False	20	1.0	-0.017985116295078818	5.925234216126631	5.943219332421711
